city_id,hotel_name,hotel_lat,hotel_long,hotel_description,hotel_link,hotel_score
11,"Le Victoria, Eguisheim, 4-6 p., 4etoiles, rénové,clim",48.0447968,7.3079618,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/le-victoria-eguisheim-4-6-p-4etoiles-renove-clim.fr.html?aid=304142&label=gen173nr-1FCAQoggJCF3NlYXJjaF9lZ3Vpc2hlaW0gZnJhbmNlSA1YBGgViAEBmAENuAEYyAEN2AEB6AEB-AEDiAIBqAIEuALrnoKcBsACAdICJDQ2MTM5YzRiLWZkMDEtNGIyYy1hZjIzLThhN2ZjNGM0YTk5NtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a19944f5c0120075&srepoch=1669369708&from=searchresults#hotelTmpl,9.7
19,Plage & Calanques Cassis,45.69287025,4.958697224906668,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/cote-calanques-cassis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9jYXNzaXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEN2AEB6AEB-AEDiAIBqAIEuAKdn4KcBsACAdICJGQ5MDhjMmMyLTU3NTYtNDAxOC1hZThiLWY5Zjk2ODk3MWZiYdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f7f4450e420f008c&srepoch=1669369758&from_beach_sr=1&beach_sr_walking_distance=262&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7
2,Le Chat Qui Veille,49.2764624,-0.7024738,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/gite-6-47-9-personnes-bayeux.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9iYXlldXggZnJhbmNlSA1YBGgViAEBmAENuAEYyAEN2AEB6AEB-AEDiAIBqAIEuAKxnoKcBsACAdICJDA2YzE3NTA1LWMxZWYtNDBmOC1iMjIyLTAwYjI3MzkzZDBjZdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f71644d87e0803ce&srepoch=1669369650&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7
11,La Grange de Madeleine,48.0447968,7.3079618,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/la-grange-de-madeleine.fr.html?aid=304142&label=gen173nr-1FCAQoggJCF3NlYXJjaF9lZ3Vpc2hlaW0gZnJhbmNlSA1YBGgViAEBmAENuAEYyAEN2AEB6AEB-AEDiAIBqAIEuALrnoKcBsACAdICJDQ2MTM5YzRiLWZkMDEtNGIyYy1hZjIzLThhN2ZjNGM0YTk5NtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a19944f5c0120075&srepoch=1669369708&from=searchresults#hotelTmpl,9.7
1,Apartment Le 1727,48.649518,-2.0260409,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/apartment-le-1725-1727.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9zdCBtYWxvIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDdgBAegBAfgBA4gCAagCBLgCq56CnAbAAgHSAiRlYjdkYTc0OS1hYWM0LTQ4YmUtYjQ1MC0wMTdiYjg1MjJkZWHYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=358044d5fed801e1&srepoch=1669369644&from_beach_sr=1&beach_sr_walking_distance=295&from=searchresults#hotelTmpl,9.7
1,Le Pilo,48.6242451,2.1252812,"Situé à Saint-Malo, à seulement 300 mètres de la plage de Bon Secours, l'établissement Le Pilo propose un hébergement en bord de mer avec connexion Wi-Fi gratuite. ",https://www.booking.com/hotel/fr/le-pilori.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9zdCBtYWxvIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDdgBAegBAfgBA4gCAagCBLgCq56CnAbAAgHSAiRlYjdkYTc0OS1hYWM0LTQ4YmUtYjQ1MC0wMTdiYjg1MjJkZWHYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=358044d5fed801e1&srepoch=1669369644&from_beach_sr=1&beach_sr_walking_distance=198&from=searchresults#hotelTmpl,9.7
23,"Les Canisses, magnifique appartement avec terrasse au cœur d'Uzès",44.0121279,4.4196718,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/magnifique-appartement-avec-terrasse-privee-au-coeur-d-uzes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF91emVzIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDdgBAegBAfgBA4gCAagCBLgCtp-CnAbAAgHSAiRjMDRiNzBmZi02YzVhLTQ4NTktYWI2MS1kMWVhZTMyNzcyNTbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b32a451b257600de&srepoch=1669369783&from=searchresults#hotelTmpl,9.7
18,HomeStay Bormes,43.1506968,6.3419285,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/homestay-bormes-bormes-les-mimosas.fr.html?aid=304142&label=gen173nr-1FCAQoggJCIHNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXMgZnJhbmNlSA1YBGgViAEBmAENuAEYyAEN2AEB6AEB-AEDiAIBqAIEuAKXn4KcBsACAdICJDQ5NjNhNzZmLTc4YTQtNGIwZi05YjllLTgwODc0ZWJmMzczMNgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f626450b9fe1012b&srepoch=1669369752&from_beach_sr=1&from=searchresults#hotelTmpl,9.6
22,"Duplex climatisé-Hauteur sous plafond 1,9m-Parking gratuit-Netflix-Arrivée autonome !! Duplex-Ceiling height 1,9m-Free parking-Netflix-Self check in",43.9492493,4.8059012,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/duplex-climatise-au-centre-ville-d-avignon-avec-parking-prive-gratuit.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDdgBAegBAfgBA4gCAagCBLgCsJ-CnAbAAgHSAiQ4NGJjMzJjMC0yMzA0LTRhMDUtYWVkYS1hMTg0YWRjZWY4ZDDYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=57564518d6b50425&srepoch=1669369777&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.6
31,Manoir de la Gravette Maison d'Hôtes,44.0175835,1.3549991,"Situé à Montauban, Le Manoir de la Gravette Maison d'Hôtes dispose d'une piscine extérieure ouverte en saison, d'un bar et d'un salon commun. Il possède également un parc d’un hectare et une terrasse....",https://www.booking.com/hotel/fr/le-manoir-de-la-gravette.fr.html?aid=304142&label=gen173nr-1FCAQoggJCF3NlYXJjaF9tb250YXViYW4gZnJhbmNlSA1YBGgViAEBmAENuAEYyAEN2AEB6AEB-AEDiAIBqAIEuALnn4KcBsACAdICJDk5MDJkOTI2LWRjODUtNDk1NS04MzQxLWQ5NjkyYTkwNzM1OdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c5dd4533bbc902cd&srepoch=1669369832&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.6
